Species name (original dataset),mb (g),Log10 mb (g),BMR (ml O2 h-1),Log10 BMR (ml O2 h-1),,,Longitude (°),Altitude (m),,,,
Dipodomys deserti,104.7,2.02,97.06,1.99,,,-117.18,405,,,,
Dipodomys heermanni,63.3,1.8,77.23,1.89,,,-102.87,898,,,,
Dipodomys merriami,35.8,1.55,52.84,1.72,,,-117.18,405,,,,
Dipodomys microps,51.5,1.71,54.59,1.74,,,-114.9,596,,,,
Dipodomys nitratoides,37.8,1.58,29.11,1.46,,,-102.87,898,,,,
Dipodomys ordii,46.8,1.67,66.03,1.82,,,-118.78,1204,,,,
Dipodomys panamintinus,64.2,1.81,77.81,1.89,,,-119.05,144,,,,
Dobsonia anderseni,241.4,2.38,173.63,2.24,,,150,192,,,,
Dobsonia minor,73.7,1.87,74.63,1.87,,,147.52,274,,,,
Dobsonia praedatrix,179.5,2.25,143.28,2.16,,,150.03,139,,,,
Dolichotis salinicola,1613,3.21,725.37,2.86,,,-58.57,99,,,,
Echymipera kalabu,695,2.84,340.55,2.53,,,145.8,94,,,,
Echymipera rufescens,616,2.79,301.84,2.48,,,143.2,401,,,,
Eira barbara,2950,3.47,1219.9,3.09,,,-70.11,10,,,,
Elephantulus brachyrhynchus,45.3,1.66,43.67,1.64,,,29.9,1089,,,,
Elephantulus edwardii,49.8,1.7,54.28,1.73,,,18.9,456,,,,
Elephantulus intufi,46.5,1.67,52.03,1.72,,,29.9,1089,,,,
Elephantulus myurus,61,1.79,64.23,1.81,,,29.88,1110,,,,
Elephantulus rozeti,53,1.72,55.92,1.75,,,-7.6,220,,,,
Elephantulus rufescens,53,1.72,56.87,1.75,,,37.83,976,,,,
Eligmodontia typus,17.5,1.24,30,1.48,,,-66.35,639,,,,
Eonycteris spelaea,51.6,1.71,47.76,1.68,,,114.43,23,,,,
Eospalax fontanierii,250.2,2.4,297.74,2.47,,,101.32,3205,,,,
Erethizon dorsatum,7710,3.89,2781.09,3.44,,,-147.54,1820,,,,
Erinaceus concolor,822.7,2.92,346.77,2.54,,,20,244,,,,
Erophylla bombifrons,16.1,1.21,17.91,1.25,,,-67.15,121,,,,
Eulemur fulvus,2330,3.37,323.38,2.51,,,-82.19,39,,,,
Euneomys chinchilloides,65.4,1.82,84.37,1.93,,,-72.3,187,,,,
Euphractus sexcinctus,8190,3.91,1235.32,3.09,,,-44.4,470,,,,
Fossa fossana,2260,3.35,905.47,2.96,,,46.52,1902,,,,
Fukomys anselli,77.3,1.89,48.7,1.69,,,28.35,1238,,,,
Fukomys darlingi,101.5,2.01,83.4,1.92,,,33.33,748,,,,
Funisciurus congicus,112.3,2.05,95.46,1.98,,,14.8,1115,,,,
Galago crassicaudatus,950,2.98,412.3,2.62,,,36.92,1583,,,,
Galago senegalensis,171.5,2.23,137.2,2.14,,,29.9,1089,,,,
Galea musteloides,322.5,2.51,262.84,2.42,,,-57.75,279,,,,
Galerella sanguinea,540,2.73,405.47,2.61,,,40.24,867,,,,
Genetta tigrina,1732,3.24,761.19,2.88,,,22.05,645,,,,
Geomys bursarius,197,2.29,137.81,2.14,,,-93.16,277,,,,
Geomys pinetis,202,2.31,141.79,2.15,,,-82.2,39,,,,
Georychus capensis,192.6,2.28,112.44,2.05,,,18.23,189,,,,
Gerbillurus paeba,33.9,1.53,34.82,1.54,,,20.7,868,,,,
Gerbillurus setzeri,46.1,1.66,37.02,1.57,,,16.2,1369,,,,
Gerbillurus tytonis,29.9,1.48,31.69,1.5,,,16.2,1369,,,,
Gerbillurus vallinus,38.8,1.59,34.76,1.54,,,16.2,1369,,,,
Gerbillus allenbyi,35.3,1.55,38.83,1.59,,,34.9,48,,,,
Gerbillus andersoni,35.8,1.55,38.81,1.59,,,34.9,26,,,,
Gerbillus nanus,31,1.49,24.18,1.38,,,34.95,348,,,,
Gerbillus perpallidus,60.5,1.78,50.22,1.7,,,31.33,40,,,,
Gerbillus pusillus,12.6,1.1,13.48,1.13,,,37.65,1938,,,,
Gerbillus pyramidum,53,1.72,52.74,1.72,,,22.52,384,,,,
Glaucomys volans,76,1.88,91.2,1.96,,,-75.25,28,,,,
